City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,yar-sale,RU,66.8333,70.8333,56.07,76,96,17.05,overcast clouds
254,arraial do cabo,BR,-22.9661,-42.0278,73.26,73,75,8.05,broken clouds
255,bowen,AU,-20.0167,148.2333,64.62,79,34,13.09,scattered clouds
256,santa ana,US,33.7456,-117.8678,76.71,86,40,1.99,haze
257,peno,RU,56.9262,32.7426,73.27,45,86,8.34,overcast clouds
258,ahipara,NZ,-35.1667,173.1667,47.55,74,5,1.01,clear sky
259,dabola,GN,10.75,-11.1167,72.86,93,100,3.69,overcast clouds
260,yarmouth,US,41.7057,-70.2286,79.25,64,1,13.0,clear sky
261,kaitangata,NZ,-46.2817,169.8464,40.87,90,45,5.39,scattered clouds
262,lavrentiya,RU,65.5833,-171.0,42.71,89,74,3.56,broken clouds
263,pa sang,TH,18.5262,98.9394,75.4,96,100,3.76,light rain
264,torbay,CA,47.6666,-52.7314,77.77,85,75,4.61,broken clouds
265,sao filipe,CV,14.8961,-24.4956,75.88,76,22,4.32,few clouds
266,lazaro cardenas,MX,17.9583,-102.2,79.14,85,34,5.12,scattered clouds
267,rehoboth,NA,-23.3167,17.0833,82.24,12,0,17.67,clear sky
268,ola,RU,59.5833,151.2833,56.25,96,100,1.77,overcast clouds
269,sembe,CG,1.6481,14.5806,90.79,41,86,3.8,overcast clouds
270,ilembo,TZ,-9.25,33.3833,62.71,52,85,7.9,overcast clouds
271,port-gentil,GA,-0.7193,8.7815,84.16,65,20,14.97,few clouds
272,pevek,RU,69.7008,170.3133,32.97,100,100,6.35,snow
273,maceio,BR,-9.6658,-35.7353,81.84,61,75,14.97,broken clouds
274,tynda,RU,55.1667,124.7167,64.24,69,100,1.52,overcast clouds
275,ouegoa,NC,-20.35,164.4333,66.74,74,61,13.96,broken clouds
276,pemangkat,ID,1.1667,108.9667,78.35,85,100,3.13,overcast clouds
277,half moon bay,US,37.4636,-122.4286,64.89,92,90,0.0,overcast clouds
278,laguna,US,38.421,-121.4238,81.1,80,1,0.0,haze
279,srednekolymsk,RU,67.45,153.6833,42.33,72,86,4.83,overcast clouds
280,banjar,ID,-8.19,114.9675,78.66,89,19,4.27,few clouds
281,camp verde,US,34.5636,-111.8543,80.76,86,60,1.99,broken clouds
282,kununurra,AU,-15.7667,128.7333,75.18,43,40,5.75,scattered clouds
283,dosso,NE,13.049,3.1937,90.93,48,84,6.93,broken clouds
284,iqaluit,CA,63.7506,-68.5145,46.13,87,90,5.75,light rain
285,faanui,PF,-16.4833,-151.75,78.4,74,9,9.89,clear sky
286,narodychi,UA,51.2029,29.0823,86.54,36,13,6.22,few clouds
287,zagan,PL,51.6176,15.3149,81.61,49,100,7.34,overcast clouds
288,muisne,EC,0.6,-80.0333,74.89,84,100,11.34,overcast clouds
289,bandarbeyla,SO,9.4942,50.8122,85.05,58,54,31.59,broken clouds
290,sobolevo,RU,54.4299,31.8996,79.18,44,100,13.15,overcast clouds
291,srostki,RU,52.4189,85.7022,59.25,79,91,3.76,overcast clouds
292,tottori,JP,35.5,134.2333,73.47,89,100,3.65,overcast clouds
293,saint-georges,GD,12.0564,-61.7485,82.08,78,40,6.91,scattered clouds
294,beidao,CN,34.5686,105.8933,70.57,78,100,5.06,overcast clouds
295,bonthe,SL,7.5264,-12.505,80.46,72,97,11.23,light rain
296,moron,AR,-34.6534,-58.6198,61.81,85,3,2.24,clear sky
297,berdigestyakh,RU,62.0989,126.6992,62.85,95,100,2.17,overcast clouds
